,Neighbors
pseudo_45_410.0_1108.0_3_abs_absolute,[]
pseudo_45_410.0_1108.0_4_abs_absolute,[]
pseudo_45_410.0_1108.0_5_abs_absolute,[]
pseudo_45_410.0_1108.0_6_abs_absolute,"['pseudo_112_810.0_1008.0', 'pseudo_182_1210.0_1208.0', 'pseudo_201_1310.0_1408.0', 'pseudo_251_1610.0_1308.0', 'pseudo_252_1610.0_1408.0', 'pseudo_255_1610.0_1708.0']"
pseudo_45_410.0_1108.0_7_abs_absolute,[]
pseudo_45_410.0_1108.0_8_abs_absolute,[]
pseudo_46_410.0_1208.0_0_abs_absolute,[]
pseudo_46_410.0_1208.0_1_abs_absolute,[]
pseudo_46_410.0_1208.0_2_abs_absolute,[]
pseudo_46_410.0_1208.0_3_abs_absolute,['pseudo_202_1310.0_1508.0']
pseudo_46_410.0_1208.0_4_abs_absolute,[]
pseudo_46_410.0_1208.0_5_abs_absolute,[]
pseudo_46_410.0_1208.0_6_abs_absolute,[]
pseudo_46_410.0_1208.0_7_abs_absolute,[]
pseudo_46_410.0_1208.0_8_abs_absolute,[]
pseudo_47_410.0_1308.0_0_abs_absolute,['pseudo_190_1310.0_308.0']
pseudo_47_410.0_1308.0_1_abs_absolute,[]
pseudo_47_410.0_1308.0_2_abs_absolute,"['pseudo_190_1310.0_308.0', 'pseudo_198_1310.0_1108.0']"
pseudo_47_410.0_1308.0_3_abs_absolute,[]
pseudo_47_410.0_1308.0_4_abs_absolute,['pseudo_186_1210.0_1608.0']
pseudo_47_410.0_1308.0_5_abs_absolute,[]
pseudo_47_410.0_1308.0_6_abs_absolute,"['pseudo_191_1310.0_408.0', 'pseudo_272_1710.0_1708.0']"
pseudo_47_410.0_1308.0_7_abs_absolute,['pseudo_234_1510.0_1308.0']
pseudo_47_410.0_1308.0_8_abs_absolute,"['pseudo_125_910.0_608.0', 'pseudo_193_1310.0_608.0', 'pseudo_224_1510.0_308.0', 'pseudo_226_1510.0_508.0', 'pseudo_228_1510.0_708.0', 'pseudo_244_1610.0_608.0', 'pseudo_249_1610.0_1108.0', 'pseudo_268_1710.0_1308.0', 'pseudo_44_410.0_1008.0', 'pseudo_55_510.0_408.0', 'pseudo_62_510.0_1108.0']"
pseudo_48_410.0_1408.0_0_abs_absolute,"['pseudo_182_1210.0_1208.0', 'pseudo_251_1610.0_1308.0', 'pseudo_43_410.0_908.0']"
pseudo_48_410.0_1408.0_1_abs_absolute,[]
pseudo_48_410.0_1408.0_2_abs_absolute,"['pseudo_110_810.0_808.0', 'pseudo_285_1810.0_1308.0']"
pseudo_48_410.0_1408.0_3_abs_absolute,"['pseudo_212_1410.0_808.0', 'pseudo_88_710.0_308.0']"
pseudo_48_410.0_1408.0_4_abs_absolute,[]
pseudo_48_410.0_1408.0_5_abs_absolute,[]
pseudo_48_410.0_1408.0_6_abs_absolute,['pseudo_267_1710.0_1208.0']
pseudo_48_410.0_1408.0_7_abs_absolute,[]
pseudo_48_410.0_1408.0_8_abs_absolute,[]
pseudo_49_410.0_1508.0_0_abs_absolute,[]
pseudo_49_410.0_1508.0_1_abs_absolute,[]
pseudo_49_410.0_1508.0_2_abs_absolute,['pseudo_106_810.0_408.0']
pseudo_49_410.0_1508.0_3_abs_absolute,['pseudo_289_1810.0_1708.0']
pseudo_49_410.0_1508.0_4_abs_absolute,[]
pseudo_49_410.0_1508.0_5_abs_absolute,[]
pseudo_49_410.0_1508.0_6_abs_absolute,['pseudo_76_610.0_808.0']
pseudo_49_410.0_1508.0_7_abs_absolute,[]
pseudo_49_410.0_1508.0_8_abs_absolute,[]
pseudo_50_410.0_1608.0_0_abs_absolute,[]
pseudo_50_410.0_1608.0_1_abs_absolute,['pseudo_124_910.0_508.0']
pseudo_50_410.0_1608.0_2_abs_absolute,[]
pseudo_50_410.0_1608.0_3_abs_absolute,[]
pseudo_50_410.0_1608.0_4_abs_absolute,[]
pseudo_50_410.0_1608.0_5_abs_absolute,[]
pseudo_50_410.0_1608.0_6_abs_absolute,['pseudo_206_1410.0_208.0']
pseudo_50_410.0_1608.0_7_abs_absolute,[]
pseudo_50_410.0_1608.0_8_abs_absolute,"['pseudo_140_1010.0_408.0', 'pseudo_257_1710.0_208.0', 'pseudo_9_210.0_908.0']"
pseudo_51_410.0_1708.0_0_abs_absolute,[]
pseudo_51_410.0_1708.0_1_abs_absolute,[]
pseudo_51_410.0_1708.0_2_abs_absolute,[]
pseudo_51_410.0_1708.0_3_abs_absolute,[]
pseudo_51_410.0_1708.0_4_abs_absolute,['pseudo_129_910.0_1008.0']
